Tibetan,English
ལས་བྱས་ནས་ནི་ཞིག་པས་ན། །སུ་ཡི་ལས་སུ་འགྱུར་ཞེ་ན། །བྱ་བ་འབྲས་གཞི་ཐ་དད་དང་། །དེར་བདག་བྱེད་པ་མེད་པར་ཡང་། །ཡུ་བུ་གཉི་ག་ལ་གྲུབ་པས། །འདིར་བརྩད་དོན་མེད་མ་ཡིན་ནམ། །,"When actions are done and then cease,<br>Who do those actions belong to, one may ask?<br>The act, its result, and the basis are distinct,<br>And there is no self performing them.<br>Since both father and son have established this,<br>Is this debate here not pointless?"
རྒྱུ་ལྡན་འབྲས་བུ་དང་བཅས་ཞེས། །མཐོང་བ་འདི་ནི་སྲིད་མ་ཡིན། །,Seeing cause and effect together<br>Is not possible in this existence.
རྒྱུད་གཅིག་ལ་ནི་བརྟེན་ནས་སུ། །བྱེད་པོ་སྤྱོད་པོ་ཞེས་བྱར་བསྟན། །,"Depending on a single continuum,<br>It is taught that there is an agent and an experiencer."
འདས་དང་མ་འོངས་པ་ཡི་སེམས། །བདག་མིན་དེ་ནི་མེད་པའི་ཕྱིར། །,"The mind of the past and future<br>Is not the self, for it does not exist."
འོན་ཏེ་སྐྱེས་སེམས་བདག་ཡིན་ན། །དེ་ཞིག་ན་ཡང་བདག་མེད་དོ། །,"However, if the born mind is the self,<br>When that ceases, there is no self."
དཔེར་ན་ཆུ་ཤིང་སྡོང་པོ་དག །ཆ་ཤས་ཕྱེ་ན་འགའ་མེད་པ། །དེ་བཞིན་རྣམ་པར་དཔྱད་པ་ཡིས། །བཙལ་ན་བདག་ཀྱང་ཡང་དག་མིན། །,"For example, when a plantain tree<br>Is divided into parts, nothing remains.<br>Likewise, when analyzed through investigation,<br>The self is found to be not truly existent."
གལ་ཏེ་སེམས་ཅན་ཡོད་མིན་ན། །སུ་ལ་སྙིང་རྗེ་བྱ་ཞེ་ན། །འབྲས་བུའི་དོན་དུ་ཁས་བླངས་པའི། །རྨོངས་པས་བརྟགས་པ་གང་ཡིན་པའོ། །,"If sentient beings do not exist,<br>To whom should compassion be shown?<br>It is that which is conceived by delusion,<br>Accepted for the sake of attaining the result."
སེམས་ཅན་མེད་འབྲས་སུ་ཡི་ཡིན། །,Sentient beings are without inherent existence.
བདེན་ཏེ་འོན་ཀྱང་རྨོངས་ལས་འདོད། །,"True, yet desire arises from ignorance."
སྡུག་བསྔལ་ཉེ་བར་ཞི་དོན་དུ། །འབྲས་བུའི་རྨོངས་པ་བཟློག་མི་བྱ། །,"In order to pacify suffering,<br>Do not turn away from the delusion of results."
སྡུག་བསྔལ་རྒྱུ་ཡི་ང་རྒྱལ་ནི། །བདག་ཏུ་རྨོངས་པས་འཕེལ་བར་འགྱུར། །,The pride that is the cause of suffering<br>Increases due to delusion about the self.
དེ་ལས་ཀྱང་བཟློག་མེད་ཅེ་ན། །བདག་མེད་བསྒོམ་པ་མཆོག་ཡིན་ནོ། །,"If there is no way to reverse this,<br>Meditation on selflessness is supreme."
ལུས་ནི་རྐང་པ་བྱིན་པ་མིན། །,The body is not the feet or calves.
བརླ་དང་རྐེད་པའང་ལུས་མ་ཡིན། །,Neither thighs nor waist are the self.
ལྟོ་དང་རྒྱབ་ཀྱང་ལུས་མིན་ཏེ། །,The front and back are also not the body.
བྲང་དང་དཔུང་པའང་ལུས་མ་ཡིན། །,Neither the chest nor the shoulders are the body.
རྩིབ་ལོགས་ལག་པའང་ལུས་མིན་ཏེ། །,"The ribs, sides, and hands are also not the body."
མཆན་ཁུང་ཕྲག་པའང་ལུས་མ་ཡིན། །,The armpit and shoulder are also not the body.
ནང་ཁྲོལ་རྣམས་ཀྱང་དེ་མིན་ལ། །,The internal organs are also not that.
མགོ་དང་མགྲིན་པའང་ལུས་མིན་ན། །འདི་ལ་ལུས་ནི་གང་ཞིག་ཡིན། །,"If the head and neck are not the body,<br>Then what indeed is the body here?"
གལ་ཏེ་ལུས་འདི་ཐམས་ཅད་ལ། །ཕྱོགས་རེ་ཡིས་ནི་གནས་གྱུར་ན། །ཆ་རྣམས་ཆ་ལ་གནས་གྱུར་མོད། །དེ་རང་ཉིད་ནི་གང་ལ་གནས། །,"If this entire body<br>Were to reside in just one part,<br>The parts would dwell within parts,<br>But where then would the self reside?"
གལ་ཏེ་བདག་ཉིད་ཀུན་གྱི་ལུས། །ལག་སོགས་རྣམས་ལ་གནས་ན་ནི། །ལག་སོགས་དེ་དག་ཇི་སྙེད་པ། །དེ་སྙེད་ཀྱི་ནི་ལུས་སུ་འགྱུར། །,"If the self resided in all parts of the body,<br>Such as the hands and so forth,<br>Then there would be as many selves<br>As there are parts of the body."
ཕྱི་དང་ནང་ན་ལུས་མེད་ན། །ཇི་ལྟར་ལག་སོགས་ལ་ལུས་ཡོད། །,"If there is no body inside or outside,<br>How can there be a body in hands and other parts?"
ལག་སོགས་རྣམས་ལས་གཞན་མེད་ན། །དེ་ནི་ཇི་ལྟར་ཡོད་པ་ཡིན། །,"If there is nothing other than parts like hands,<br>How can that [whole] exist?"
དེས་ན་ལུས་མེད་ལག་སོགས་ལ། །རྨོངས་པ་ཡིས་ནི་ལུས་བློར་འགྱུར། །,"Therefore, due to ignorance,<br>The notion of a body arises<br>In relation to the bodiless hands and other parts."
དབྱིབས་སུ་བཀོད་པའི་ཁྱད་པར་གྱིས། །ཐོ་ཡོར་ལ་ནི་མི་བློ་བཞིན། །,"Due to the distinctive arrangement of its shape,<br>[It is] like the mind's perception of a scarecrow."
ཇི་སྲིད་རྐྱེན་ཚོགས་དེ་སྲིད་དུ། །ལུས་ནི་སྐྱེས་བུ་ལྟར་སྣང་བ། །དེ་བཞིན་ཇི་སྲིད་ལག་སོགས་ལ། །དེ་ཡོད་དེ་སྲིད་དེར་ལུས་སྣང་། །,"As long as the collection of conditions persists,<br>The body appears like a person.<br>Likewise, as long as there are hands and such,<br>For that duration, the body appears there."
དེ་བཞིན་སོར་མོའི་ཚོགས་ཡིན་ཕྱིར། །ལག་པའང་གང་ཞིག་ཡིན་པར་འགྱུར། །,"Likewise, since it is a collection of fingers,<br>What indeed could the hand be?"
དེ་ཡང་ཚིགས་ཀྱི་ཚོགས་ཡིན་ཕྱིར། །ཚིགས་ཀྱང་རང་གི་ཆ་ཕྱེ་བས། །ཆ་ཡང་རྡུལ་དུ་ཕྱེ་བས་ཏེ། །,"tags:<br><br><t><br>Moreover, since it is a collection of parts,<br>The parts too can be divided into their components.<br>Those components can be further divided into particles."
རྡུལ་དེའང་ཕྱོགས་ཆའི་དབྱེ་བ་ཡིས། །ཕྱོགས་དབྱེའང་ཆ་ཤས་དང་བྲལ་ཕྱིར། །མཁའ་བཞིན་དེས་ན་རྡུལ་ཡང་མེད། །,"Even that particle, by division of its parts,<br>And the division of parts being without portions,<br>Is like space; therefore, even particles do not exist."
དེ་ལྟར་རྨི་ལམ་ལྟ་བུ་ཡི། །གཟུགས་ལ་དཔྱོད་ལྡན་སུ་ཞིག་ཆགས། །,"Thus, who among the wise would be attached<br>To forms that are like a dream?"
གང་ཚེ་དེ་ལྟར་ལུས་མེད་པ། །དེ་ཚེ་སྐྱེས་གང་བུད་མེད་གང་། །,"When there is no body in this way,<br>At that time, who is born and who is female?"
སྡུག་བསྔལ་དེ་ཉིད་དུ་ཡོད་ན། །ཅི་སྟེ་རབ་དགའ་ལ་མི་གནོད། །,"If suffering truly exists,<br>Why does it not harm supreme joy?"
བདེ་ན་མྱ་ངན་གདུང་སོགས་ལ། །ཞིམ་སོགས་ཅི་སྟེ་དགའ་མི་བྱེད། །,"If in happiness, why not rejoice<br>In sorrow, pain, and suffering too?"
སྟོབས་དང་ལྡན་པས་ཟིལ་མནན་ཕྱིར། །གལ་ཏེ་དེ་མྱོང་མ་ཡིན་ན། །གང་ཞིག་ཉམས་མྱོང་བདག་ཉིད་མིན། །,"If one does not experience that which<br>Is overpowered by the mighty,<br>Then who is it that has the experience?"
དེ་ནི་ཚོར་བ་ཇི་ལྟར་ཡིན། །,How is that feeling?
སྡུག་བསྔལ་ཕྲ་མོ་ཉིད་དུ་ཡོད། །འདི་ཡི་རགས་པ་བསལ་མིན་ནམ། །,Even the subtlest suffering exists.<br>Is this not to remove the gross [suffering]?
དེ་ནི་དེ་ལས་གཞན་དགའ་ཙམ། །ཞེ་ན་ཕྲ་ཉིད་དེ་ཡང་དེའི། །གལ་ཏེ་འགལ་རྐྱེན་སྐྱེས་པས་ན། །སྡུག་བསྔལ་སྐྱེས་པ་མིན་ན་ནི། །ཚོར་བར་རྟོག་པ་མངོན་ཞེན་ཉིད། །ཡིན་ཞེས་བྱ་བར་གྲུབ་མིན་ནམ། །,"If it is said that this is merely a different kind of pleasure,<br>Then that too is subtle, and if it is that,<br>If due to arising adverse conditions,<br>Suffering does not arise,<br>Is it not established that<br>This is just clinging to the concept of feeling?"
དེ་ཉིད་ཕྱིར་ན་འདི་ཡི་ནི། །གཉེན་པོ་རྣམ་དཔྱོད་འདི་བསྒོམ་སྟེ། །,"Therefore, as an antidote to this,<br>One should meditate on this discerning wisdom."
རྣམ་བརྟགས་ཞིང་ལས་བྱུང་བ་ཡི། །བསམ་གཏན་རྣལ་འབྱོར་པ་ཡི་ཟས། །,The food of meditation yogis<br>Arises from the field of conceptual analysis.
གལ་ཏེ་དབང་དོན་བར་བཅས་ན། །དེ་དག་གང་དུ་ཕྲད་པར་འགྱུར། །,"If there is a mediator between the senses and their objects,<br>Where would they actually meet?"
བར་མེད་ན་ཡང་གཅིག་ཉིད་དེ། །,"Even without intermediaries, it is still one."
གང་ཞིག་གང་དང་ཕྲད་པར་འགྱུར། །,Whatever meets with whatever.
རྡུལ་ཕྲན་རྡུལ་ཕྲན་ལ་འཇུག་མེད། །,There is no entering into atoms within atoms.
དེ་ནི་སྐབས་མེད་མཉམ་པ་ཡིན། །,That is the state of equality without refuge.
མ་ཞུགས་པ་ལ་འདྲེས་མེད་ཅིང་། །,"Not entering, yet without mixing."
མ་འདྲེས་པ་ལ་ཕྲད་པ་མེད། །,"For that which is unmixed, there is no meeting."
ཆ་མེད་པ་ལའང་ཕྲད་པ་ཞེས། །བྱ་བ་ཇི་ལྟར་འཐད་པར་འགྱུར། །,"How can there be a ""meeting""<br>For that which has no parts?"
ཕྲད་པ་དང་ནི་ཆ་མེད་པར། །གལ་ཏེ་མཐོང་ན་བསྟན་པར་གྱིས། །,"If you see [something] without meeting or parts,<br>Then teach [about it]."
རྣམ་ཤེས་ལུས་མེད་པ་ལ་ནི། །ཕྲད་པ་འཐད་པ་མ་ཡིན་ཉིད། །,"For consciousness without a body,<br>Contact is indeed not possible."
ཚོགས་པའང་དངོས་པོ་མེད་ཕྱིར་ཏེ། །སྔར་ནི་ཇི་ལྟར་རྣམ་དཔྱད་བཞིན། །,"The assembly also lacks inherent existence,<br>As previously analyzed in detail."
དེ་ལྟར་རེག་པ་ཡོད་མིན་ན། །ཚོར་བ་གང་ལས་འབྱུང་བར་འགྱུར། །,"tags:<br><br><t><br>If contact does not exist in that way,<br>From where would feeling arise?"
ངལ་འདི་ཅི་ཡི་དོན་དུ་ཡིན། །,For what purpose is this weariness?
གང་གིས་གང་ལ་གནོད་པར་འགྱུར། །,Who harms whom?
གང་ཚེ་ཚོར་པོ་འགའ་མེད་ཅིང་། །ཚོར་བའང་ཡོད་པ་མ་ཡིན་པ། །དེ་ཚེ་གནས་སྐབས་འདི་མཐོང་ནས། །སྲེད་པ་ཅི་ཕྱིར་ལྡོག་མི་འགྱུར། །,"When there is no perceiver,<br>And perception also does not exist,<br>At that time, seeing this state,<br>Why would craving not cease?"
མཐོང་བ་འམ་ནི་རེག་པ་ཡང་། །རྨི་ལམ་སྒྱུ་འདྲའི་བདག་ཉིད་ཀྱིས། །སེམས་དང་ལྷན་ཅིག་སྐྱེས་པའི་ཕྱིར། །ཚོར་བ་དེ་ཡིས་མཐོང་མ་ཡིན། །,"Seeing or touching,<br>Like a dream or illusion in nature,<br>Because they arise together with mind,<br>That sensation does not truly see."
སྔར་དང་ཕྱི་མར་སྐྱེས་པས་ཀྱང་། །དྲན་པར་འགྱུར་གྱི་,"By being born in the past and future,<br>One becomes mindful."
མྱོང་མ་ཡིན། །,It is not experienced.
རང་གིས་བདག་ཉིད་མྱོང་མིན་ལ། །གཞན་དག་གིས་ཀྱང་མྱོང་མ་ཡིན། །,"It is not experienced by oneself,<br>Nor is it experienced by others."
ཚོར་པོ་འགའ་ཡང་ཡོད་མིན་ཏེ། །,There is no feeling whatsoever.
དེས་ན་ཚོར་བ་དེ་ཉིད་མིན། །,"Therefore, that is not feeling itself."
དེ་ལྟར་བདག་མེད་ཚོགས་འདི་ལ། །འདི་ཡིས་ཅི་སྟེ་གནོད་པར་བྱ། །,"Thus, to this selfless assembly,<br>Why should this cause harm?"
ཡིད་ནི་དབང་རྣམས་ལ་མི་གནས། །,The mind does not abide in the senses.
གཟུགས་སོགས་ལ་མིན་,Not in form and so forth
བར་ནའང་མིན། །,Neither in between.
ནང་ཡང་སེམས་མིན་,Not even the mind within
ཕྱི་མིན་ཞིང་། །,It is not external.
གཞན་དུ་ཡང་ནི་རྙེད་མ་ཡིན། །,It is not to be found elsewhere.
གང་ཞིག་ལུས་མིན་གཞན་དུ་མིན། །འདྲེས་མིན་ལོགས་སུའང་འགར་མེད་པ། །དེ་ནི་ཅུང་ཟད་མིན་དེའི་ཕྱིར། །སེམས་ཅན་རང་བཞིན་མྱ་ངན་འདས། །,"tags:<br><br><t><br>That which is not the body, not elsewhere,<br>Not mixed, nor separate anywhere,<br>That is nothing at all; therefore,<br>The nature of beings is nirvana."
ཤེས་བྱ་ལས་སྔར་ཤེས་ཡོད་ན། །དེ་ནི་ཅི་ལ་དམིགས་ནས་སྐྱེ། །,"If knowledge existed prior to the object of knowledge,<br>What would it be focused on in order to arise?"
ཤེས་དང་ཤེས་བྱ་ལྷན་ཅིག་ན། །དེ་ནི་ཅི་ལ་དམིགས་ནས་སྐྱེ། །,"When knowledge and the object of knowledge are simultaneous,<br>Upon what does that [knowledge] arise and focus?"
འོན་ཏེ་ཤེས་བྱའི་ཕྱིས་ཡོད་ན། །དེ་ཚེ་ཤེས་པ་གང་ལས་སྐྱེ། །,"However, if the object of knowledge exists later,<br>Then from what does the consciousness arise at that time?"
དེ་ལྟར་ཆོས་རྣམས་ཐམས་ཅད་ཀྱི། །སྐྱེ་བ་རྟོགས་པར་འགྱུར་མ་ཡིན། །,"Thus, the arising of all phenomena<br>Cannot be fully comprehended."
གལ་ཏེ་དེ་ལྟར་ཀུན་རྫོབ་མེད། །དེ་ལ་བདེན་གཉིས་ག་ལ་ཡོད། །,"If conventional reality does not exist in this way,<br>How can there be two truths for it?"
དེ་ཡང་ཀུན་རྫོབ་གཞན་གྱིས་ན། །སེམས་ཅན་མྱ་ངན་ག་ལ་འདའ། །,"Moreover, from the perspective of conventional truth,<br>How could sentient beings pass beyond sorrow?"
འདི་ནི་གཞན་སེམས་རྣམ་རྟོག་སྟེ། །,This is the conceptual thought of others' minds.
དེ་ནི་རང་གི་ཀུན་རྫོབ་མིན། །,That is not one's own conventional truth.
ཕྱིས་དེ་ངེས་ན་དེ་ཡོད་དེ། །,"Later, if that is certain, then that exists."
མིན་ན་ཀུན་རྫོབ་མེད་པ་ཉིད། །,"If not, then conventional reality itself would not exist."
རྟོག་དང་བརྟག་པར་བྱ་བ་དག །གཉིས་པོ་ཕན་ཚུན་བརྟེན་པ་ཡིན། །,The conceptualizer and that which is conceptualized<br>Are mutually dependent upon each other.
ཇི་ལྟར་གྲགས་པ་ལ་བརྟེན་ནས། །རྣམ་པར་དཔྱད་པ་ཐམས་ཅད་བརྗོད། །,"Based on what is known,<br>All analysis is expressed."
གང་ཚེ་རྣམ་པར་དཔྱད་པ་ཡི། །རྣམ་དཔྱོད་ཀྱིས་ནི་དཔྱོད་བྱེད་ན། །དེ་ཚེ་རྣམ་དཔྱོད་དེ་ཡང་ནི། །རྣམ་དཔྱོད་ཕྱིར་ན་ཐུག་པ་མེད། །,"When one analyzes with discerning wisdom,<br>That very discernment itself<br>Is also subject to analysis.<br>Thus, there is no end to discernment."
དཔྱད་བྱ་རྣམ་པར་དཔྱད་བྱས་ན། །རྣམ་དཔྱོད་ལ་ནི་རྟེན་ཡོད་མིན། །,"When thoroughly analyzing the object of analysis,<br>There is no basis for analytical wisdom."
རྟེན་མེད་ཕྱིར་ན་མི་སྐྱེ་སྟེ། །,"Since there is no basis, it does not arise."
དེ་ཡང་མྱ་ངན་འདས་པར་བརྗོད། །,That is also called passing beyond sorrow.
གང་གི་ལྟར་ན་འདི་གཉིས་བདེན། །,According to whom are these two true?
དེ་ཉིད་ཤིན་ཏུ་དཀའ་བར་གནས། །,That itself remains extremely difficult.
གལ་ཏེ་ཤེས་དབང་ལས་དོན་གྲུབ། །ཤེས་ཡོད་ཉིད་ལ་རྟེན་ཅི་ཡོད། །,"If results are achieved through the power of knowledge,<br>What need is there to rely on mere existence of knowledge?"
འོན་ཏེ་ཤེས་བྱ་ལས་ཤེས་གྲུབ། །ཤེས་བྱ་ཡོད་ལ་རྟེན་ཅི་ཡོད། །,"However, knowledge arises from the knowable.<br>What is the basis for the existence of the knowable?"
དེ་སྟེ་ཕན་ཚུན་དབང་གིས་ཡོད། །གཉི་ག་ཡང་ནི་མེད་པར་འགྱུར། །,"If they exist in mutual dependence,<br>Both will become non-existent."
གལ་ཏེ་བུ་མེད་ཕ་མིན་ན། །བུ་ཉིད་གང་ལས་བྱུང་བ་ཡིན། །,"If there is no father without a son,<br>From where did the son himself arise?"
བུ་མེད་པར་ནི་ཕ་མེད་པ། །དེ་བཞིན་དེ་གཉིས་མེད་པ་ཉིད། །,"Without a child, there is no father;<br>Likewise, neither of these two exist inherently."
མྱུ་གུ་ས་བོན་ལས་སྐྱེ་ཞིང་། །ས་བོན་དེ་ཉིད་ཀྱིས་རྟོགས་བཞིན། །,"The sprout grows from the seed,<br>And is understood through that very seed itself."
ཤེས་བྱ་ལས་སྐྱེས་ཤེས་པ་ཡིས། །དེ་ཡོད་པ་ནི་ཅིས་མི་རྟོགས། །,"By the knowledge born from the knowable,<br>Why is its existence not understood?"
མྱུ་གུ་ལས་གཞན་ཤེས་པ་ཡིས། །ས་བོན་ཡོད་ཅེས་རྟོགས་འགྱུར་ན། །གང་ཕྱིར་ཤེས་བྱ་དེ་རྟོགས་པ། །ཤེས་པ་ཡོད་ཉིད་གང་ལས་རྟོགས། །,"If by knowledge other than the sprout,<br>One realizes the existence of the seed,<br>Then by what means does one realize<br>The very existence of the knowledge that realizes that object?"
རེ་ཞིག་འཇིག་རྟེན་མངོན་སུམ་གྱིས། །རྒྱུ་རྣམས་ཐམས་ཅད་མཐོང་བ་ཡིན། །,"For now, through direct perception of the world,<br>All causes are seen."
པདྨའི་སྡོང་བུ་སོགས་དབྱེ་ནི། །རྒྱུ་ཡི་དབྱེ་བས་བསྐྱེད་པ་ཡིན། །,The distinctions of lotus stems and such<br>Are produced by the distinctions of causes.
རྒྱུ་དབྱེ་གང་གིས་བྱས་ཞེ་ན། །སྔར་གྱི་རྒྱུ་དབྱེ་ཉིད་ལས་སོ། །,"If one asks, ""By what cause is this distinction made?""<br>It is by the very distinction of causes that came before."
ཅི་ཕྱིར་རྒྱུ་ཡིས་འབྲས་སྐྱེད་ནུས། །སྔར་གྱི་རྒྱུ་ཡི་མཐུ་ཉིད་ལས། །,Why can a cause produce an effect?<br>It is due to the power of the previous cause itself.
དབང་ཕྱུག་འགྲོ་བའི་རྒྱུ་ཡིན་ན། །རེ་ཞིག་དབང་ཕྱུག་གང་ཡིན་སྨྲོས། །,"If the Lord (Ishvara) is the cause of beings,<br>For now, please state what this Lord is."
འབྱུང་རྣམས་ཞེ་ན་དེ་ལྟ་མོད། །,"If one asks about the elements, it is indeed so."
མིང་ཙམ་ལ་ཡང་ཅི་ཞིག་ངལ། །,Why exhaust oneself even for mere names?
འོན་ཀྱང་ས་སོགས་དུ་མ་དང་། །མི་རྟག་གཡོ་མེད་ལྷ་མིན་ཞིང་། །འགོམ་བྱ་ཉིད་དང་མི་གཙང་བས། །དེ་ནི་དབང་ཕྱུག་ཉིད་མ་ཡིན། །,"However, [it is] many like earth and so forth,<br>Impermanent, unmoving, not divine,<br>To be trodden upon, and impure.<br>Therefore, it is not the nature of the Lord."
དབང་ཕྱུག་མཁའ་མིན་གཡོ་མེད་ཕྱིར། །,Because the sovereign lord is neither sky nor immovable.
བདག་མིན་སྔར་ནི་བཀག་ཟིན་ཕྱིར། །,Because the self has already been refuted before.
བསམ་མིན་པ་ཡི་བྱེད་པོ་ཡང་། །བསམ་མིན་བརྗོད་པས་ཅི་ཞིག་བྱ། །,"For the one who acts without thought,<br>What use is there in speaking without thought?"
དེས་བསྐྱེད་འདོད་པའང་གང་ཞིག་ཡིན། །,What is it that generates desire?
བདག་ནི་དེ་དང་ས་སོགས་དང་། །དབང་ཕྱུག་ངོ་བོའང་རྟག་མིན་ནམ། །,"Am I not eternal, like that [Brahman],<br>And also like earth and the other elements,<br>As well as the essence of the Lord [Ishvara]?"
ཤེས་པ་ཤེས་བྱ་ལས་སྐྱེ་དང་། །ཐོག་མེད་བདེ་སྡུག་ལས་ལས་ཡིན། །,"Consciousness arises from objects of knowledge,<br>And beginningless pleasure and pain arise from karma."
དེ་ཡིས་གང་ཞིག་བསྐྱེད་པ་སྨྲོས། །,What is produced by that? Tell me.
རྒྱུ་ལ་ཐོག་མ་ཡོད་མིན་ན། །འབྲས་བུའི་ཐོག་མ་ག་ལ་ཡོད། །,"If there is no beginning to causes,<br>How could there be a beginning to effects?"
རྟག་ཏུ་ཅི་ཕྱིར་བྱེད་མིན་ཏེ། །དེ་ནི་གཞན་ལ་ལྟོས་པ་མིན། །,Why does one not always act?<br>Because that does not depend on others.
དེས་བྱས་མིན་གཞན་ཡོད་མིན་ན། །དེས་འདི་གང་ལ་ལྟོས་པར་འགྱུར། །,"If there is nothing else that is not done by that,<br>Then upon what could this depend?"
གལ་ཏེ་ལྟོས་ན་ཚོགས་པ་ཉིད། །རྒྱུ་ཡིན་འགྱུར་གྱི་དབང་ཕྱུག་མིན། །,"If one examines closely, it is the collection of causes and conditions that is the origin, not some supreme being."
ཚོགས་ན་མི་སྐྱེ་དབང་མེད་ཅིང་། །དེ་མེད་པར་ནི་སྐྱེ་དབང་མེད། །,"Without accumulation, one has no power to be born;<br>Yet without that [birth], one has no power to accumulate."
གལ་ཏེ་དབང་ཕྱུག་མི་འདོད་བཞིན། །བྱེད་ན་གཞན་གྱི་དབང་དུ་ཐལ། །,"If the Lord acts against his own will,<br>He would fall under the power of others."
འདོད་ནའང་འདོད་ལ་རག་ལས་འགྱུར། །,"Even if one desires, one becomes dependent on desire."
བྱེད་ནའང་དབང་ཕྱུག་ག་ལ་ཡིན། །,"Even if one does so, how could there be a supreme lord?"
གང་དག་རྡུལ་ཕྲན་རྟག་སྨྲ་བ། །དེ་དག་ཀྱང་ནི་སྔར་བཟློག་ཟིན། །,Those who assert that particles are permanent<br>Have already been refuted earlier.
གཙོ་བོ་རྟག་པ་འགྲོ་བ་ཡི། །རྒྱུ་ཡིན་པར་ནི་གྲངས་ཅན་འདོད། །,"The Samkhya philosophers assert that the principal (pradhana),<br>Which is permanent, is the cause of living beings."
སྙིང་སྟོབས་རྡུལ་དང་མུན་པ་ཞེས། །བྱ་བའི་ཡོན་ཏན་མཉམ་གནས་ནི། །གཙོ་བོ་ཞེས་བྱར་རབ་བརྗོད་དེ། །,"Courage, energy, and darkness -<br>These qualities existing in balance<br>Are proclaimed to be the principal elements."
མི་མཉམ་འགྲོ་བ་ཡིན་པར་བརྗོད། །,It is said that beings are unequal.
གཅིག་ལ་རང་བཞིན་གསུམ་ཉིད་ནི། །རིགས་མིན་དེས་ན་དེ་ཡོད་མིན། །,"It is not logical for one thing to have three inherent natures.<br>Therefore, that [threefold nature] does not exist."
དེ་བཞིན་ཡོན་ཏན་ཡོད་མིན་ཏེ། །དེ་ཡང་སོ་སོར་རྣམ་གསུམ་ཕྱིར། །,"Likewise, there are no qualities [in inherent existence].<br>This is also due to the three individual [reasons]."
ཡོན་ཏན་མེད་ན་སྒྲ་སོགས་ཀྱང་། །ཡོད་ཉིད་ཤིན་ཏུ་རྒྱང་རིང་འགྱུར། །,"Without virtuous qualities, even sound and the like<br>Become extremely distant from true existence."
སེམས་མེད་གོས་ལ་སོགས་པ་ལ། །བདེ་སོགས་ཡོད་པ་སྲིད་པའང་མིན། །,"In mindless things like clothes and such,<br>There cannot possibly exist pleasure and the like."
དངོས་རྣམས་དེ་རྒྱུའི་རང་བཞིན་ན། །དངོས་པོ་རྣམ་དཔྱད་ཟིན་མིན་ནམ། །,"Since phenomena have the nature of their causes,<br>Have not all phenomena already been thoroughly examined?"
ཁྱོད་ཀྱི་རྒྱུ་ཡང་བདེ་སོགས་ཉིད། །དེ་ལས་སྣམ་སོགས་འབྱུང་བའང་མེད། །,"Your cause is also happiness and such.<br>From that, cloth and so forth do not arise."
སྣམ་སོགས་ལས་ནི་བདེ་སོགས་ཡིན། །,From cloth and such arise pleasure and the like.
དེ་མེད་ཕྱིར་ན་བདེ་སོགས་མེད། །,"Because that does not exist, there is no happiness and so forth."
བདེ་སོགས་རྟག་པ་ཉིད་དུ་ཡང་། །ནམ་ཡང་དམིགས་པ་ཡོད་མ་ཡིན། །,Happiness and such are never<br>Observed to be permanent.
བདེ་སོགས་གསལ་བ་ཡོད་ཉིད་ན། །མྱོང་བ་ཅི་ཕྱིར་འཛིན་མ་ཡིན། །,"If happiness and other [experiences] are clearly existent,<br>Why are they not grasped as experiences?"
དེ་ཉིད་ཕྲ་མོར་གྱུར་ན་དེ། །རགས་དང་ཕྲ་བའང་ཇི་ལྟར་ཡིན། །,"If that very thing becomes subtle,<br>How can it be both coarse and fine?"
རགས་པ་དོར་ནས་ཕྲ་གྱུར་པས། །ཕྲ་རགས་དེ་དག་མི་རྟག་ཉིད། །,"Having abandoned the coarse and become subtle,<br>Those subtle and coarse [phenomena] are impermanent."
དེ་བཞིན་དངོས་པོ་ཐམས་ཅད་ནི། །མི་རྟག་ཉིད་དུ་ཅིས་མི་འདོད། །,"In the same way, why not accept<br>That all phenomena are impermanent?"
རགས་པ་བདེ་ལས་གཞན་མིན་ན། །བདེ་བ་གསལ་བ་མི་རྟག་ཉིད། །,"If coarseness is nothing other than bliss,<br>Then bliss itself is clear and impermanent."
གལ་ཏེ་མེད་པ་འགའ་ཡང་ནི། །སྐྱེ་མིན་མེད་ཕྱིར་ཞེས་འདོད་ན། །གསལ་བ་མེད་པར་སྐྱེ་བར་ནི། །ཁྱོད་མི་འདོད་ཀྱང་གནས་པ་ཉིད། །,"If you claim that nothing arises<br>Because there is no non-existence,<br>Then even though you do not accept it,<br>The fact remains that the non-manifest arises."
གལ་ཏེ་རྒྱུ་ལ་འབྲས་གནས་ན། །ཟན་ཟ་མི་གཙང་ཟ་བར་འགྱུར། །,"If the effect exists within the cause,<br>Then eating food would be eating excrement."
རས་ཀྱི་རིན་གྱིས་རས་བལ་གྱི། །ས་བོན་ཉོས་ལ་བགོ་བར་གྱིས། །,"tags:<br><br><t><br>With the price of cloth, buy cotton seeds and distribute them."
འཇིག་རྟེན་རྨོངས་པས་མ་མཐོང་ན། །དེ་ཉིད་ཤེས་ཀྱིས་བཞག་དེ་ཉིད། །ཤེས་དེ་འཇིག་རྟེན་ལ་ཡང་ནི། །ཡོད་པས་ཅི་སྟེ་མཐོང་མ་ཡིན། །,"If the deluded world does not see it,<br>That very reality is established by those who know.<br>Since that knowledge exists even in the world,<br>Why is it not seen?"
